model,hour,mean_abs_error,mean_error,rmse
Persistence,12,262.9865935251798,0.9703273381294959,495.1242669299287
Persistence,13,276.05979496402875,-1.5178561151079162,526.7492926085774
Persistence,14,292.66554856115107,-3.944839928057551,560.3827311326958
Persistence,15,297.1376726618705,-6.360600719424462,571.3857708238899
Persistence,16,299.214183600713,-8.301349376114084,572.0648979781837
Persistence,17,292.4612745098039,-9.47358467023173,561.5263960180957
Persistence,18,278.1473992869875,-9.304668449197866,536.4605177416823
Persistence,19,260.2636524064171,-8.189884135472367,491.522009960605
Persistence,20,239.82479322638142,-4.9385044563279905,440.09715170492717
Persistence,21,218.65726203208558,-4.949475935828879,393.68528533539956
Persistence,22,195.84030481283423,-4.107566844919782,348.2466370534373
Persistence,23,180.3188520499109,-2.4784670231729047,307.2244572635347
Persistence,0,168.54889818181817,-0.6186181818181806,276.7729064847208
Persistence,1,165.08689836660616,0.2885970961887509,261.66265953197916
Persistence,2,162.60388566243194,1.0969455535390187,253.334223789279
Persistence,3,163.67049818840582,1.4363170289855094,252.77958906675087
Persistence,4,169.48990398550723,2.5206105072463743,259.8915294049358
Persistence,5,196.21092753623188,3.9632536231884066,300.99366433751743
Persistence,6,242.81979891304348,6.542349637681161,383.1622721143079
Persistence,7,272.2243153153153,10.217425225225222,445.0562626519046
Persistence,8,258.963818018018,9.503183783783788,454.57593910988146
Persistence,9,244.99180900900902,7.014774774774778,445.195604790564
Persistence,10,250.32577117117114,5.118589189189192,462.3468548863572
Persistence,11,256.37917837837836,3.051290090090091,476.81685771526134
OLS,12,264.39322838969065,104.70259902733471,436.7114351831428
OLS,13,281.5139021991111,105.81110127684711,472.70864697760027
OLS,14,295.2118405549236,105.41702667414692,507.6553009207418
OLS,15,301.7638905173666,105.85315437105777,523.1055477072375
OLS,16,305.826258773763,109.28765323741929,531.3307457522476
OLS,17,303.0558730830771,110.3632207223956,527.192998221744
OLS,18,292.1023550243256,109.97783469551278,508.95793177880444
OLS,19,273.17124403978596,111.20597116904737,469.1313649349962
OLS,20,253.40618619573968,117.35767624513066,421.4720323298157
OLS,21,233.98550747469235,111.50459577960737,375.8730517420689
OLS,22,213.65307234737037,103.41317560855454,332.6673359187975
OLS,23,206.76521560609737,107.05347373192046,301.9705895452305
