model,zone,load_area,mae,rmse,mape,bias,n
Persistence,DEOK,DEOK,251.86625163398693,317.56705929030306,7.365912731251228,-46.925895424836604,612.0
Persistence,EKPC,EKPC,136.18883791469193,183.3746120342685,10.164583910838477,23.474267298578198,1055.0
Persistence,AP,AP,317.37973390224977,438.56034858907765,6.196862601389711,-15.917871993793641,1289.0
Persistence,ATSI,OE,369.67717843289375,556.08390403061,5.579867058887795,-20.26731031807603,1289.0
Persistence,ATSI,PAPWR,46.45114429790535,59.4078144815283,9.083059677041133,-2.0393134212567885,1289.0
Persistence,OVEC,OVEC,6.633410672853828,9.050472891038941,18.74930860341035,0.31167826759474093,1293.0
Persistence,AEP,AEPAPT,221.2519102760736,298.6025401067294,5.9226947499649185,8.133082055214723,1304.0
Persistence,AEP,AEPIMP,177.7814171779141,245.01468606282506,5.433532609909538,8.15690490797546,1304.0
Persistence,AEP,AEPKPT,29.021933282208586,40.54907031694132,5.167405585318666,0.06341180981595063,1304.0
Persistence,AEP,AEPOPT,332.90890950920243,483.6496549151667,4.192056529279509,5.885900306748465,1304.0
Persistence,CE,CE,688.0178190184049,986.4608692155368,7.142433879658343,12.682670245398766,1304.0
OLS,DEOK,DEOK,229.5375731199614,284.5663601093749,6.735707371140872,-19.15899128782464,612.0
OLS,EKPC,EKPC,177.87620164597035,227.9824963906898,13.655378585603643,124.14433731832872,1055.0
OLS,AP,AP,310.9275310337712,402.94753240436137,6.274492063556801,162.81344172336497,1289.0
OLS,ATSI,OE,350.5328908568995,485.0566208119723,5.434172737075148,152.9198445375428,1289.0
OLS,ATSI,PAPWR,92.50681492814682,122.82643694854691,18.47485472612405,50.08689358980159,1289.0
OLS,OVEC,OVEC,95.5403882673112,129.65701549069186,277.14066640375137,43.4853557755725,1293.0
OLS,AEP,AEPAPT,235.8735605984335,294.06582171156447,6.517798118096366,147.61928471617577,1304.0
OLS,AEP,AEPIMP,157.53231320902566,210.8615479863138,4.898236038402532,63.91221430252838,1304.0
OLS,AEP,AEPKPT,91.14094144550774,124.75193814178199,16.821577748627924,48.14772167098122,1304.0
OLS,AEP,AEPOPT,306.3811153256222,424.0436282934408,3.88942052655481,100.82365082507003,1304.0
OLS,CE,CE,678.9283217619334,916.3010622004349,7.2251794156716915,282.130883861588,1304.0
Neural Network,DEOK,DEOK,243.38283049954399,310.1761625890827,7.077138729911386,-34.358482499029165,612.0
Neural Network,EKPC,EKPC,136.40857678068696,185.09505717216774,10.229549561138475,27.761742474702015,1055.0
Neural Network,AP,AP,263.86436302519536,367.5188596627823,5.183410700544842,50.13711301082578,1289.0
Neural Network,ATSI,OE,311.6974138893107,454.05946670648086,4.72615257538258,101.25740369353102,1289.0
Neural Network,ATSI,PAPWR,47.545648845322226,61.257206369996084,9.293711747599884,-2.2898536056235668,1289.0
Neural Network,OVEC,OVEC,39.90047259009183,49.809347952583636,114.93513326638083,11.03608111962695,1293.0
Neural Network,AEP,AEPAPT,183.3904434303973,248.18719902014334,4.917895554964776,68.72964868734155,1304.0
Neural Network,AEP,AEPIMP,150.30313236389333,203.32718089801304,4.5962149048092655,3.404120530071518,1304.0
